,precision,recall,f1-score,support
animal,0.5714285714285714,0.4,0.47058823529411764,10.0
arm,0.8,0.6666666666666666,0.7272727272727273,12.0
arrest,0.75,0.6,0.6666666666666666,10.0
baby,0.8181818181818182,0.9,0.8571428571428571,10.0
banana,0.8333333333333334,0.7142857142857143,0.7692307692307693,14.0
bark,0.875,0.6363636363636364,0.7368421052631579,11.0
basketball,0.8461538461538461,0.9166666666666666,0.88,12.0
bat,0.75,0.6,0.6666666666666666,10.0
bow,0.8461538461538461,0.9166666666666666,0.88,12.0
bra,1.0,0.7777777777777778,0.875,9.0
break,0.375,0.3333333333333333,0.35294117647058826,9.0
bury,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
call,0.6363636363636364,0.7,0.6666666666666666,10.0
candy,0.5,0.6666666666666666,0.5714285714285714,9.0
carrot,0.6363636363636364,0.6363636363636364,0.6363636363636364,11.0
castle,0.9166666666666666,0.8461538461538461,0.88,13.0
cat,0.7692307692307693,0.9090909090909091,0.8333333333333334,11.0
catch,0.42105263157894735,0.5333333333333333,0.47058823529411764,15.0
chew,0.6,0.6923076923076923,0.6428571428571429,13.0
cloud,0.6666666666666666,0.7692307692307693,0.7142857142857143,13.0
conduct,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
cool,0.5882352941176471,0.625,0.6060606060606061,16.0
corn,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
cross,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
cry,0.8461538461538461,0.7333333333333333,0.7857142857142857,15.0
dark,0.8181818181818182,0.9,0.8571428571428571,10.0
deaf,1.0,0.5555555555555556,0.7142857142857143,9.0
decorate,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
dip,0.7777777777777778,0.7,0.7368421052631579,10.0
dog,0.8333333333333334,0.7692307692307693,0.8,13.0
dolphin,0.8333333333333334,1.0,0.9090909090909091,10.0
drown,1.0,0.6,0.75,15.0
elevator,0.75,0.9,0.8181818181818182,10.0
envelope,0.8,0.75,0.7741935483870968,16.0
erase,0.9375,0.9375,0.9375,16.0
file,0.8,0.8888888888888888,0.8421052631578947,9.0
fine,0.4,0.4,0.4,10.0
flashlight,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0
float,0.7272727272727273,0.8,0.7619047619047619,10.0
follow,0.9166666666666666,0.7857142857142857,0.8461538461538461,14.0
fork,0.75,0.9230769230769231,0.8275862068965517,13.0
glass,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
gloves,0.5,0.6923076923076923,0.5806451612903226,13.0
go,0.6,0.6,0.6,10.0
gun,0.6363636363636364,0.7,0.6666666666666666,10.0
handsome,0.7333333333333333,0.8461538461538461,0.7857142857142857,13.0
helicopter,0.75,0.9,0.8181818181818182,10.0
hold,0.6,0.2727272727272727,0.375,11.0
iron,1.0,0.7,0.8235294117647058,10.0
jacket,1.0,0.8571428571428571,0.9230769230769231,14.0
kangaroo,0.6666666666666666,0.8,0.7272727272727273,10.0
kiss,0.875,0.7,0.7777777777777778,10.0
knight,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
lift,0.625,0.5,0.5555555555555556,10.0
lobster,1.0,1.0,1.0,10.0
lock,0.6153846153846154,0.8888888888888888,0.7272727272727273,9.0
magnet,0.9230769230769231,1.0,0.96,12.0
mean,0.6,0.6666666666666666,0.631578947368421,9.0
meditate,0.8,0.8,0.8,10.0
microscope,0.8571428571428571,0.6,0.7058823529411765,10.0
mix,0.8,0.6666666666666666,0.7272727272727273,12.0
move,0.625,0.5555555555555556,0.5882352941176471,9.0
necklace,0.8333333333333334,0.7692307692307693,0.8,13.0
oil,0.625,0.5,0.5555555555555556,10.0
parachute,0.9,1.0,0.9473684210526315,9.0
patient,0.4666666666666667,0.7,0.56,10.0
peach,0.46153846153846156,0.6666666666666666,0.5454545454545454,9.0
peel,0.6363636363636364,0.6363636363636364,0.6363636363636364,11.0
peg,0.75,1.0,0.8571428571428571,9.0
pillow,0.7692307692307693,1.0,0.8695652173913043,10.0
pineapple,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
pipe,0.5384615384615384,0.5833333333333334,0.56,12.0
plenty,0.4444444444444444,0.4444444444444444,0.4444444444444444,9.0
pop,0.8333333333333334,0.7142857142857143,0.7692307692307693,14.0
rhino,0.75,0.6666666666666666,0.7058823529411765,9.0
right,0.6428571428571429,0.75,0.6923076923076923,12.0
run,0.5555555555555556,0.5,0.5263157894736842,10.0
sandwich,0.6875,0.8461538461538461,0.7586206896551724,13.0
scarf,0.8181818181818182,0.75,0.782608695652174,12.0
screwdriver,0.8,0.8,0.8,10.0
sharpen,0.6363636363636364,0.7777777777777778,0.7,9.0
shave,0.7222222222222222,0.8125,0.7647058823529411,16.0
shoulder,0.75,0.6,0.6666666666666666,10.0
slice,0.6363636363636364,0.5833333333333334,0.6086956521739131,12.0
somersault,0.75,0.3333333333333333,0.46153846153846156,9.0
spread,0.7142857142857143,0.8333333333333334,0.7692307692307693,12.0
stack,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
stamp,0.7142857142857143,0.5,0.5882352941176471,10.0
stethoscope,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
story,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
strawberry,0.75,0.9230769230769231,0.8275862068965517,13.0
support,0.5454545454545454,0.6666666666666666,0.6,9.0
sweater,0.9090909090909091,1.0,0.9523809523809523,10.0
talk,0.5454545454545454,0.6666666666666666,0.6,9.0
tow,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
toy,1.0,0.8,0.8888888888888888,10.0
trim,0.5,0.1111111111111111,0.18181818181818182,9.0
what,0.8333333333333334,0.5555555555555556,0.6666666666666666,9.0
wristwatch,0.5833333333333334,0.7,0.6363636363636364,10.0
yawn,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0
